Event,Group,Description,Date
ML Intrdouced,Pre-internet,Coining of ML Term,6/30/1959
First Data Center Planned,Pre-internet,US to build first data center,6/30/1965
Internet Launched,Internet-age,Internet age begins,1/1/1983
Google.com Registered,Internet-age,Google registered,09/151997
BigData Term,Big Data,Big Data coined by Gartner,6/30/2001
Hadoop,Big Data,Hadoop created,6/30/2005
$10B Market,Big Data,Global Market reaches $10 billion,6/30/2013
Wireless devices >> PCs,Big Data,U.S. mobile devices > U.S. desktops,6/30/2014
BERT,Big Models,Transformer-based machine learning technique for natural language processing pre-training,10/11/2018
Dalle,Big Models,Generating images and art from text,1/5/2021
GPT-3,Big Models,Generative Pre-trained Transformer 3 is an autoregressive language model that uses deep learning to produce human-like text,6/11/2020
chatGPT,Big Models, a chatbot launched by OpenAI in November 2022. It is built on top of OpenAI's GPT-3.5 family of large language models and is fine-tuned with both supervised and reinforcement learning techniques, 11/30/2022
